Rok,Porodnost
2025,1.28
2024,1.37
2023,1.45
2022,1.62
2021,1.83
2020,1.71
2019,1.71
2018,1.71
2017,1.69
2016,1.63
2015,1.57
2014,1.53
2013,1.46
2012,1.45
2011,1.43
2010,1.49
2009,1.49
2008,1.5
2007,1.44
2006,1.33
2005,1.28
2004,1.23
2003,1.18
2002,1.17
2001,1.15
2000,1.14
1999,1.13
1998,1.16
1997,1.17
1996,1.19
1995,1.28
1994,1.44
1993,1.67
1992,1.71
1991,1.86
1990,1.89
1989,1.87
1988,1.94
1987,1.91
1986,1.94
1985,1.96
1984,1.97
1983,1.96
1982,2.01
1981,2.02
1980,2.1
1979,2.29
1978,2.32
1977,2.32
1976,2.36
1975,2.4
1974,2.43
1973,2.29
1972,2.07
1971,1.98
1970,1.91
1969,1.86
1968,1.83
1967,1.9
1966,2.01
1965,2.18
1964,2.36
1963,2.33
1962,2.14
1961,2.13
1960,2.11
1959,2.12
1958,2.31
1957,2.5
1956,2.57
1955,2.58
1954,2.58
1953,2.61
1952,2.7
1951,2.76
1950,2.8
