Rok;Valorizace polovinou reálné mzdy (platnost do roku 2023);Důchodový věk zastropovaný na 65 letech, bez snížených zápočtů;Vyšší důchodový věk bez snížených zápočtů;Základní scénář (všechny složky reformy)
2025;-0,147139656;-0,147139656;-0,147139656;-0,147139656
2026;0,004392831;0,004392831;0,004392831;0,010142132
2027;0,285760914;0,285760914;0,285760914;0,297259516
2028;0,495438607;0,495438607;0,495438607;0,512686511
2029;0,556331029;0,5565003;0,5565003;0,587329347
2030;0,516700011;0,546472104;0,546472104;0,59550536
2031;0,516145091;0,575159614;0,575159614;0,645553073
2032;0,548180845;0,6263347;0,6263347;0,650483223
2033;0,418067898;0,523284258;0,523284258;0,650143563
2034;0,346857258;0,477393237;0,489962506;0,648696498
2035;0,197312982;0,351909495;0,437662726;0,634636855
2036;0,049004694;0,226360565;0,370509452;0,606680426
2037;-0,131321762;0,067621931;0,281917378;0,558471345
2038;-0,369373121;-0,149775445;0,172831772;0,489847791
2039;-0,645028224;-0,405760929;0,031170142;0,389692087
2040;-0,933029482;-0,675108824;-0,148377593;0,254110498
2041;-1,246443604;-0,970714496;-0,346675628;0,097035351
2042;-1,446163311;-1,153226009;-0,47905221;0,006092244
2043;-1,677835694;-1,368515546;-0,665219908;-0,140303185
2044;-1,928747895;-1,60272582;-0,853098991;-0,287835609
2045;-2,155131487;-1,813384711;-1,032297129;-0,432124726
2046;-2,31828209;-1,961287917;-1,191789126;-0,558737852
2047;-2,464861829;-2,093251749;-1,324513682;-0,659477723
2048;-2,606269303;-2,220660963;-1,428525094;-0,738284779
2049;-2,751287785;-2,352366509;-1,521686694;-0,809233753
2050;-2,898493455;-2,487083287;-1,610960774;-0,878323647
2051;-3,065198626;-2,642072782;-1,697214074;-0,944538414
2052;-3,238497213;-2,804332728;-1,77270211;-1,007329925
2053;-3,362728686;-2,918059911;-1,844738598;-1,065640179
2054;-3,479566369;-3,025118204;-1,913294342;-1,119941272
2055;-3,529922622;-3,066449046;-1,91922824;-1,116849993
2056;-3,634490732;-3,162696201;-1,979489466;-1,169785514
2057;-3,746498411;-3,267525078;-2,077581422;-1,262506309
2058;-3,816544842;-3,331520531;-2,169663011;-1,349374006
2059;-3,852954868;-3,363261428;-2,243573076;-1,42265073
2060;-3,835564885;-3,34266071;-2,290905869;-1,470876411
2061;-3,777840296;-3,282987942;-2,313028973;-1,492103762
2062;-3,686554956;-3,190739385;-2,291965749;-1,475413661
2063;-3,588710504;-3,092905084;-2,237928126;-1,427132282
2064;-3,494170346;-2,999404282;-2,163580853;-1,360354574
2065;-3,39910846;-2,906283546;-2,079922475;-1,284708649
2066;-3,306468807;-2,816314387;-1,988315269;-1,204859195
2067;-3,219023739;-2,732177349;-1,895127786;-1,124045583
2068;-3,153063736;-2,669888528;-1,812569239;-1,051623322
2069;-3,103737835;-2,624571957;-1,738938811;-0,987418442
2070;-3,077342063;-2,602411313;-1,676018478;-0,936646467
2071;-3,083321228;-2,612667186;-1,633364552;-0,901937037
2072;-3,116412613;-2,654383583;-1,613227435;-0,891518745
2073;-3,185403875;-2,727268851;-1,624646119;-0,908169215
2074;-3,278295102;-2,823880842;-1,667777692;-0,958956734
2075;-3,352525243;-2,898110983;-1,742007833;-1,033186875
