Rok;Výdaje na starobní důchody
2018;6,41
2019;6,51
2020;7,06
2021;6,86
2022;6,81
2023;7,41
2024;7,30
2025;7,01
2026;6,95
2027;6,89
2028;6,73
2029;6,69
2030;6,71
2031;6,69
2032;6,70
2033;6,72
2034;6,73
2035;6,76
2036;6,81
2037;6,87
2038;6,96
2039;7,07
2040;7,22
2041;7,39
2042;7,50
2043;7,66
2044;7,82
2045;7,98
2046;8,13
2047;8,24
2048;8,34
2049;8,42
2050;8,51
2051;8,58
2052;8,66
2053;8,73
2054;8,79
2055;8,80
2056;8,86
2057;8,96
2058;9,05
2059;9,13
2060;9,19
2061;9,22
2062;9,21
2063;9,17
2064;9,12
2065;9,05
2066;8,98
2067;8,91
2068;8,85
2069;8,79
2070;8,75
2071;8,73
2072;8,73
2073;8,75
2074;8,81
2075;8,89
