Rok,Muži,Ženy
2023,77.02750711,82.98228752
2024,77.23433968,83.14989153
2025,77.44000027,83.31625706
2026,77.64448463,83.48138733
2027,77.8477884,83.64528557
2028,78.0499072,83.80795505
2029,78.25083658,83.96939906
2030,78.45057207,84.12962099
2031,78.64910924,84.28862425
2032,78.84644367,84.44641234
2033,79.04257099,84.60298881
2034,79.23748691,84.75835731
2035,79.43118721,84.91252155
2036,79.6236678,85.06548534
2037,79.81492468,85.21725258
2038,80.00495402,85.36782725
2039,80.1937521,85.51721344
2040,80.38131539,85.66541533
2041,80.56764052,85.81243719
2042,80.7527243,85.95828342
2043,80.93656374,86.10295849
2044,81.11915605,86.246467
2045,81.30049865,86.38881363
2046,81.48058918,86.53000317
2047,81.65942548,86.67004054
2048,81.83700565,86.80893072
2049,82.013328,86.94667882
2050,82.18839111,87.08329005
2051,82.36219375,87.21876972
2052,82.53473498,87.35312324
2053,82.70601409,87.4863561
2054,82.87603062,87.61847393
2055,83.04478434,87.7494824
2056,83.21227531,87.87938733
2057,83.37850381,88.00819458
2058,83.54347037,88.13591013
2059,83.70717579,88.26254004
2060,83.8696211,88.38809046
2061,84.03080759,88.5125676
2062,84.19073678,88.63597779
2063,84.34941044,88.75832739
2064,84.50683058,88.87962287
2065,84.66299946,88.99987075
2066,84.81791955,89.11907763
2067,84.97159357,89.23725019
2068,85.12402446,89.35439514
2069,85.27521538,89.47051927
2070,85.42516972,89.58562944
2071,85.57389107,89.69973254
2072,85.72138325,89.81283552
2073,85.86765026,89.9249454
2074,86.01269634,90.03606921
2075,86.15652588,90.14621405
2076,86.29914351,90.25538706
2077,86.44055401,90.3635954
2078,86.58076235,90.47084629
2079,86.7197737,90.57714696
2080,86.85759337,90.68250468
2081,86.99422687,90.78692674
2082,87.12967983,90.89042047
2083,87.26395806,90.9929932
2084,87.39706754,91.0946523
2085,87.52901436,91.19540514
2086,87.65980476,91.29525911
2087,87.78944513,91.39422162
2088,87.91794197,91.49230007
2089,88.04530193,91.58950188
2090,88.17153174,91.68583448
2091,88.29663829,91.78130529
2092,88.42062854,91.87592172
2093,88.54350957,91.96969121
2094,88.66528857,92.06262116
2095,88.7859728,92.15471899
2096,88.90556963,92.24599209
2097,89.0240865,92.33644787
2098,89.14153094,92.42609368
2099,89.25791054,92.5149369
2100,89.37323298,92.60298488
