Rok;Věk 0 – 14;Věk 15 – 64;Věk 65+
2024;15,5;63,8;20,7
2023;15,9;63,6;20,5
2022;16,2;63,4;20,4
2021;16,1;63,3;20,6
2020;16,1;63,8;20,2
2019;16;64,1;19,9
2018;15,9;64,5;19,6
2017;15,7;65;19,2
2016;15,6;65,6;18,8
2015;15,4;66,3;18,3
2014;15,2;67;17,8
2013;15;67,6;17,4
2012;14,8;68,4;16,8
2011;14,7;69,1;16,2
2010;14,4;70,1;15,5
2009;14,2;70,6;15,2
2008;14,1;71;14,9
2007;14,2;71,2;14,6
2006;14,4;71,2;14,4
2005;14,6;71,1;14,2
2004;14,9;71;14
2003;15,2;70,8;13,9
2002;15,6;70,5;13,9
2001;15,9;70,2;13,9
2000;16,2;69,9;13,9
1999;16,6;69,6;13,8
1998;17;69,3;13,7
1997;17,4;69;13,6
1996;17,9;68,7;13,5
1995;18,3;68,4;13,3
1994;18,9;68;13,1
1993;19,4;67,6;13
1992;20;67,1;12,9
1991;20,6;66,7;12,8
1990;21,2;66,3;12,6
1989;21,7;65,8;12,5
1988;22,4;65,3;12,3
1987;22,8;65;12,2
1986;23,1;64,9;12
1985;23,3;64,8;11,9
1984;23,4;64,8;11,8
1983;23,5;64,6;11,9
1982;23,5;64,1;12,4
1981;23,5;63,6;12,9
1980;23,5;63,2;13,3
1979;23,3;63,1;13,6
1978;23,3;63,2;13,5
1977;23,1;63,5;13,4
1976;22,7;64;13,3
1975;22,3;64,5;13,2
1974;21,9;65,1;13
1973;21,4;65,8;12,8
1972;21,1;66,3;12,6
1971;21,1;66,5;12,4
1970;21,2;66,6;12,2
1969;21,4;66,7;11,9
1968;21,6;66,7;11,7
1967;22;66,5;11,4
1966;22,5;66,4;11,1
1965;22,9;66,3;10,8
1964;23,3;66,2;10,5
1963;23,7;66,1;10,2
1962;24,1;65,9;10
1961;24,8;65,5;9,8
1960;25,5;65;9,5
1959;25,6;64,9;9,5
1958;26;64,7;9,3
1957;26,4;64,5;9,1
1956;26,4;64,6;9
1955;26,3;64,8;8,9
1954;26,2;65;8,8
1953;25,9;65,4;8,7
1952;25,5;65,9;8,6
1951;25;66,4;8,5
1950;24,5;67;8,5
1949;24,1;67,6;8,3
1948;23,6;68,3;8,1
1947;23,1;68,9;8
