Rok,Věk 0 – 14,Věk 15 – 64,Věk 65+
2023,16.16996824,63.43896193,20.39106984
2024,15.8710192,63.59417415,20.53480665
2025,15.56685288,63.73469314,20.69845398
2026,15.26034784,63.79603338,20.94361878
2027,15.01999734,63.77862426,21.2013784
2028,14.77607302,63.75047922,21.47344776
2029,14.54978348,63.68892567,21.76129085
2030,14.29488911,63.62786593,22.07724496
2031,14.03401513,63.63923184,22.32675302
2032,13.75621061,63.72074667,22.52304272
2033,13.47639483,63.82898337,22.69462181
2034,13.21103576,63.93641214,22.8525521
2035,12.97496184,63.96483974,23.06019842
2036,12.7701759,63.92359425,23.30622986
2037,12.53773017,63.86554974,23.59672008
2038,12.4354468,63.61004178,23.95451142
2039,12.41532902,63.13555428,24.4491167
2040,12.41899674,62.54106629,25.03993697
2041,12.44789484,61.94304153,25.60906363
2042,12.50002451,61.35297637,26.14699911
2043,12.57141357,60.78656584,26.64202059
2044,12.65518614,60.22986394,27.11494991
2045,12.7440549,59.71334098,27.54260413
2046,12.83397579,59.32561945,27.84040475
2047,12.92088743,59.00744621,28.07166636
2048,13.00110595,58.69542596,28.30346809
2049,13.07093946,58.40657344,28.5224871
2050,13.12730049,58.12690625,28.74579326
2051,13.16747171,57.85936768,28.97316061
2052,13.18888304,57.6219902,29.18912676
2053,13.1901102,57.41370219,29.39618761
2054,13.17082815,57.20232538,29.62684648
2055,13.13156925,57.04160274,29.82682801
2056,13.07381697,56.87312322,30.05305981
2057,12.99974244,56.71801983,30.28223773
2058,12.91188442,56.63267111,30.45544446
2059,12.81307564,56.55983685,30.62708751
2060,12.70637753,56.60580387,30.6878186
2061,12.59480466,56.74567685,30.65951849
2062,12.48150634,56.93462036,30.58387331
2063,12.36939136,57.12408343,30.50652521
2064,12.26144559,57.31357717,30.42497723
2065,12.16060945,57.51081534,30.32857521
2066,12.06933913,57.67459655,30.25606432
2067,11.99071172,57.824103,30.18518527
2068,11.92653096,57.93702453,30.13644451
2069,11.87817343,58.02350162,30.09832495
2070,11.84614281,58.04864852,30.10520867
2071,11.83028964,58.01142868,30.15828168
2072,11.82971607,57.9215005,30.24878343
2073,11.84291971,57.74272783,30.41435246
2074,11.86799306,57.51010558,30.62190136
2075,11.90247355,57.27393753,30.82358893
2076,11.94362985,57.03141248,31.02495767
2077,11.98875738,56.84447955,31.16676307
2078,12.03521119,56.64346485,31.32132396
2079,12.0803162,56.44975964,31.46992415
2080,12.12177625,56.2221193,31.65610445
2081,12.15742404,55.98347867,31.85909729
2082,12.18555285,55.72259434,32.09185281
2083,12.20475578,55.45435441,32.34088981
2084,12.21405745,55.1945943,32.59134825
2085,12.21291374,54.95770999,32.82937626
2086,12.2011354,54.74484239,33.0540222
2087,12.17880729,54.49565876,33.32553395
2088,12.14652338,54.37016224,33.48331438
2089,12.10510603,54.31921073,33.57568324
2090,12.0556608,54.28391425,33.66042494
2091,11.99962537,54.26655954,33.73381509
2092,11.93857436,54.26624166,33.79518398
2093,11.87427599,54.28066943,33.84505458
2094,11.80867317,54.3039793,33.88734752
2095,11.74353446,54.33063028,33.92583527
2096,11.68064956,54.35802951,33.96132093
2097,11.62180238,54.38354243,33.99465519
2098,11.5684097,54.40475671,34.02683359
2099,11.52169154,54.41933298,34.05897548
2100,11.48253531,54.42531024,34.09215445
